UserID,Birthday,IsSubscribed,SubscribeDate,GenderFinal,IsVIP,HasUsedWishlist,IsUsingMultipleDevices,SK_GeoCountry
4587379,,No,,Men,Not VIP,No,No,216
4547956,,No,,Men,Not VIP,No,No,216
4564312,,No,,Men,Not VIP,No,No,216
4565450,,No,,Women,Not VIP,No,No,70
4565518,,No,,Men,Not VIP,No,No,216
4581896,,No,,Men,Not VIP,No,No,216
78011,,Yes,2009-12-23 11:30:19.607,Men,Not VIP,No,No,106
80049,,Yes,2009-12-29 11:03:11.613,Women,Not VIP,No,No,29
4520360,,No,,N/D,Not VIP,No,Yes,216
4531448,,Yes,2012-12-07 22:28:28.837,Women,Not VIP,Yes,Yes,216
4544709,,No,,Women,Not VIP,No,No,216
4602069,,No,,N/D,Not VIP,Yes,No,216
4604566,,No,,Men,Not VIP,Yes,No,216
4560912,,No,,Women,Not VIP,No,No,37
4570833,,No,,N/D,Not VIP,No,No,216
4579840,,No,,Women,Not VIP,No,No,216
4587577,,No,,N/D,Not VIP,Yes,No,216
4548488,,No,,N/D,Not VIP,No,No,29
4552725,,No,,Women,Not VIP,No,No,216
4552611,,No,,N/D,Not VIP,No,No,216
4562593,,No,,N/D,Not VIP,No,No,216
4576797,,No,,Women,Not VIP,No,No,216
4579448,,No,,Women,Not VIP,No,No,216
4611294,,No,,Men,Not VIP,No,No,70
4513018,,No,,N/D,Not VIP,No,No,37
4514690,,No,,Women,Not VIP,No,No,216
4518195,,No,,Women,Not VIP,No,No,216
4515017,,No,,Women,Not VIP,No,No,216
4516621,,No,,Women,Not VIP,No,No,216
4546908,,No,,N/D,Not VIP,Yes,Yes,216
4549709,,No,,Men,Not VIP,No,No,216
4604732,,No,,N/D,Not VIP,No,No,216
4608819,,No,,Men,Not VIP,No,No,29
4611752,,Yes,2012-12-17 18:34:21.950,Women,Not VIP,No,No,29
4611784,,No,,N/D,Not VIP,No,No,70
4596286,,No,,Women,Not VIP,No,No,29
4594716,,Yes,2011-11-10 19:43:07.113,Men,Not VIP,Yes,No,216
4598111,,No,,Men,Not VIP,No,No,216
4515214,,No,,Men,Not VIP,No,No,216
4513132,,No,,Women,Not VIP,Yes,No,216
4613722,,No,,N/D,Not VIP,No,No,70
40535,,Yes,2009-07-20 12:12:55.140,Women,Not VIP,Yes,Yes,123
4577520,,No,,Women,Not VIP,No,No,70
4578690,,Yes,2015-03-03 20:47:23.497,Women,Not VIP,Yes,No,216
4579358,,Yes,2012-09-08 23:46:03.700,N/D,Not VIP,No,No,29
4614336,,No,,Women,Not VIP,Yes,No,216
4615229,,No,,Women,Not VIP,No,No,37
4635649,,Yes,2012-12-23 03:45:52.077,Women,Not VIP,No,No,216
63496,,Yes,2009-11-09 10:34:21.143,Women,Not VIP,No,No,215
4627636,,No,,Men,Not VIP,No,No,216
4630980,,No,,N/D,Not VIP,No,No,216
4644308,,Yes,2012-12-19 17:19:45.367,Women,Not VIP,No,No,216
4633784,,No,,Men,Not VIP,No,No,29
4615873,,Yes,2012-07-03 15:23:25.320,N/D,Not VIP,No,No,216
4619513,,No,,N/D,Not VIP,No,No,216
4624547,,No,,N/D,Not VIP,No,No,37
4634232,,No,,Women,Not VIP,No,No,216
4648186,,Yes,2014-01-09 09:37:05.767,Women,Not VIP,Yes,Yes,216
4644048,,No,,Men,Not VIP,No,No,70
4717865,,No,,Women,Not VIP,No,No,216
4661560,,Yes,2012-08-16 13:57:10.710,Women,Not VIP,No,No,29
4664967,,Yes,2014-07-09 20:51:07.107,N/D,Not VIP,Yes,No,216
4635435,,No,,N/D,Not VIP,No,No,216
4642721,,Yes,2015-02-06 23:02:44.630,Women,Not VIP,Yes,No,216
4637034,,Yes,2012-12-19 07:38:32.413,N/D,Not VIP,Yes,No,216
4650653,,No,,Women,Not VIP,No,No,216
4652742,,No,,Women,Not VIP,No,No,216
4660500,,Yes,2012-12-20 15:51:32.630,N/D,Not VIP,No,No,216
4634635,,No,,N/D,Not VIP,No,No,29
4690689,,No,,Women,Not VIP,No,No,216
4719926,,No,,N/D,Not VIP,No,No,37
4699017,,No,,Women,Not VIP,No,No,216
4701485,,No,,N/D,Not VIP,No,No,37
4711949,,No,,Men,Not VIP,No,No,216
4698396,,No,,Women,Not VIP,No,No,216
4699100,,No,,N/D,Not VIP,No,No,216
4680525,,No,,N/D,Not VIP,No,No,216
4591609,,No,,Women,Not VIP,No,No,216
4717096,,No,,Women,Not VIP,No,No,216
4721640,,No,,Men,Not VIP,No,No,216
4745844,,Yes,2012-12-25 21:49:28.570,N/D,Not VIP,No,No,216
4770012,,No,,Women,Not VIP,No,No,216
4746009,,No,,N/D,Not VIP,No,No,216
4722429,,No,,Men,Not VIP,No,No,216
4746022,,No,,Women,Not VIP,No,No,216
4767683,,No,,Women,Not VIP,No,No,216
4748104,,No,,N/D,Not VIP,Yes,No,216
4749927,,Yes,2014-03-09 11:19:27.830,Men,VIP,Yes,No,216
4768226,,No,,Women,Not VIP,Yes,No,216
4719222,,No,,N/D,Not VIP,No,No,216
4744483,,No,,N/D,Not VIP,No,No,216
4745428,,No,,N/D,Not VIP,No,No,216
4760668,,No,,Men,Not VIP,Yes,No,216
4738282,,No,,N/D,Not VIP,No,No,216
4762775,,Yes,2014-05-05 16:49:21.283,Women,Not VIP,No,No,216
4615509,,No,,Men,Not VIP,No,No,216
4628645,,No,,N/D,Not VIP,Yes,No,216
4676012,,No,,N/D,Not VIP,Yes,Yes,216
4677927,,Yes,2015-07-31 13:44:40.690,N/D,Not VIP,Yes,No,216
4659935,,Yes,2012-11-09 23:08:45.403,Women,Not VIP,No,No,29
4640494,,No,,Women,Not VIP,No,No,216
136656,,Yes,2009-08-10 16:40:03.250,Women,Not VIP,No,No,216
4701675,,No,,Men,Not VIP,No,No,29
4682721,,Yes,2013-01-11 06:13:05.357,Women,Not VIP,Yes,No,216
4712845,,Yes,2012-12-23 19:12:24.540,Men,Not VIP,No,No,216
4714963,,No,,Men,Not VIP,No,No,70
4664252,,No,,Men,Not VIP,No,No,216
4674386,,No,,N/D,Not VIP,No,No,216
4770586,,No,,Women,Not VIP,No,No,70
4650771,,No,,N/D,Not VIP,No,No,216
4685065,,No,,N/D,Not VIP,No,No,216
4693908,,Yes,2012-12-22 17:00:52.667,N/D,Not VIP,No,No,29
4710269,,No,,Women,Not VIP,No,No,216
71701,,Yes,2009-12-07 07:40:47.590,Women,Not VIP,Yes,No,216
153653,1989-07-23,Yes,2010-05-27 10:17:16.333,Men,Not VIP,Yes,No,123
4744546,,No,,Men,Not VIP,No,No,216
4789833,,No,,Women,Not VIP,No,No,216
145559,1990-10-31,Yes,2010-05-13 09:24:46.223,Women,Not VIP,Yes,No,215
2738829,,No,,Women,Not VIP,Yes,No,216
2756805,,No,,Women,Not VIP,No,No,216
2734208,,No,,N/D,Not VIP,No,No,216
2754648,,No,,Women,Not VIP,No,No,216
2757145,,Yes,2014-05-08 01:11:39.923,N/D,Not VIP,No,No,216
3269756,,No,,N/D,Not VIP,No,No,216
3271603,,No,,Men,Not VIP,No,No,216
3281149,,No,,N/D,Not VIP,No,No,216
2748626,,Yes,2014-09-15 21:46:08.110,Men,VIP New,Yes,No,216
3281318,,Yes,2012-09-24 17:56:52.903,Women,Not VIP,No,No,216
4796450,,No,,Women,Not VIP,No,No,216
1986804,,Yes,2012-05-15 15:02:48.353,Women,Not VIP,No,No,216
1987574,,No,2012-05-17 15:11:33.593,Women,Not VIP,No,No,216
1992271,,Yes,2012-05-16 21:03:04.247,Women,Not VIP,No,No,29
4796680,,Yes,2014-01-09 09:39:21.457,N/D,Not VIP,Yes,No,37
4808043,,No,,Women,Not VIP,No,No,216
80048,1986-11-13,Yes,2009-12-29 11:03:11.613,Women,Not VIP,No,No,29
4791748,,Yes,2012-07-17 15:34:15.433,N/D,Not VIP,No,No,216
1986991,,Yes,2012-05-17 15:11:33.593,Men,Not VIP,Yes,No,216
1953608,,Yes,2012-05-15 15:02:47.867,Men,Not VIP,Yes,No,216
1955371,,Yes,2011-11-24 22:04:22.553,N/D,Not VIP,No,No,29
1963259,,Yes,2012-05-15 15:02:47.867,Women,Not VIP,No,No,216
2737865,,No,,Men,Not VIP,No,No,216
2739746,,No,,Women,Not VIP,No,No,216
2746691,,No,,Women,Not VIP,Yes,No,29
2756085,,No,,Women,Not VIP,No,No,216
2757387,,No,,Women,Not VIP,No,No,70
2747687,,No,,Men,Not VIP,Yes,Yes,216
2758065,,No,,Women,Not VIP,No,No,70
3266021,,No,,Women,Not VIP,No,No,216
3282044,,No,,Women,Not VIP,No,No,37
3273422,,No,,Men,Not VIP,Yes,No,216
2766452,,No,,Women,Not VIP,No,No,29
3269057,,Yes,2012-02-21 20:25:44.510,Women,Not VIP,No,No,70
2758071,,No,,Women,Not VIP,No,No,29
2758714,,Yes,2010-11-30 16:21:45.977,N/D,Not VIP,No,No,29
3267976,,Yes,2012-09-23 18:28:16.450,Women,Not VIP,No,No,29
4797274,,No,,Women,Not VIP,No,No,216
4807334,,No,,Men,Not VIP,No,No,216
4796391,,No,,N/D,Not VIP,No,No,216
4808091,,No,,Men,Not VIP,No,No,29
4813448,,No,,Women,Not VIP,No,No,216
4814782,,Yes,2012-12-29 01:53:25.393,N/D,Not VIP,No,No,216
4800696,,No,,Women,Not VIP,No,No,70
4809786,,Yes,2012-12-28 19:08:41.077,Men,Not VIP,No,No,216
4818001,,No,,Women,Not VIP,No,No,216
4808028,,No,,Women,Not VIP,No,No,216
319714,1986-09-01,Yes,2011-02-08 17:30:49.400,Women,Not VIP,Yes,No,29
320680,1992-02-02,No,,Women,Not VIP,Yes,No,216
323573,,Yes,2010-10-06 12:37:14.023,Men,Not VIP,No,No,216
1987373,,Yes,2012-05-17 15:11:33.593,N/D,Not VIP,No,No,37
1990554,,Yes,2012-05-17 15:11:33.593,Women,Not VIP,No,No,216
1964602,,Yes,2012-05-15 15:02:47.867,Women,Not VIP,No,No,216
1971471,,Yes,2012-05-15 15:02:47.867,Women,Not VIP,No,No,216
1957441,,Yes,2012-05-15 15:02:47.867,Women,Not VIP,No,No,216
1958911,,Yes,2012-05-15 15:02:47.867,N/D,Not VIP,No,No,216
1979643,,Yes,2012-05-15 15:02:47.867,Women,Not VIP,No,No,216
3299409,,No,,Women,Not VIP,No,No,216
3285694,,No,,Women,Not VIP,No,No,216
1961290,,Yes,2012-05-15 15:02:47.867,N/D,Not VIP,No,No,70
1972368,,Yes,2012-05-15 15:02:47.867,Men,Not VIP,Yes,No,216
2755394,,No,,Women,Not VIP,No,No,216
2765856,,No,,N/D,Not VIP,No,No,37
3265558,,No,,Men,Not VIP,No,No,216
3299356,,Yes,2014-03-22 20:47:34.657,N/D,Not VIP,No,No,216
1979777,,Yes,2012-05-15 15:02:47.867,Men,Not VIP,No,No,216
1969359,1974-08-11,Yes,2012-05-13 16:47:05.173,Women,Not VIP,Yes,Yes,29
3287848,,No,,Men,Not VIP,No,No,216
3291985,,Yes,2012-09-25 14:07:21.760,N/D,Not VIP,No,No,70
4815525,,No,,Women,Not VIP,No,No,216
3290548,,No,,Men,Not VIP,No,No,216
331085,1989-02-04,No,,Women,Not VIP,Yes,Yes,29
4157975,,Yes,2012-11-27 04:55:19.983,N/D,Not VIP,Yes,No,216
4158751,,No,,Men,Not VIP,No,No,70
4160686,,No,,Women,Not VIP,No,No,216
4182181,,No,,Women,Not VIP,Yes,No,131
4167417,1988-10-31,Yes,2012-12-19 12:51:30.837,Men,Not VIP,No,No,216
3301052,,Yes,2012-10-16 15:21:45.243,Women,Not VIP,Yes,No,216
3302320,,No,,N/D,Not VIP,No,No,216
15534,,Yes,2009-03-30 11:23:40.160,N/D,Not VIP,Yes,No,101
4177303,,Yes,2012-10-26 08:18:37.550,Women,Not VIP,No,No,29
3310904,,No,,Women,Not VIP,No,No,216
3313612,,Yes,2012-09-27 04:13:32.870,N/D,Not VIP,Yes,No,216
3319542,,No,,Women,Not VIP,Yes,No,216
3324058,,No,,N/D,Not VIP,No,No,216
3314342,,No,,Women,Not VIP,Yes,No,216
3318605,,No,,Women,Not VIP,No,No,216
4158041,,Yes,2012-11-22 17:13:57.390,Women,Not VIP,No,No,216
4158743,,No,,N/D,Not VIP,No,No,216
4175985,,No,,N/D,Not VIP,No,No,216
4180331,,Yes,2012-11-23 20:35:08.417,Women,Not VIP,No,No,70
4166250,,Yes,2012-07-17 15:34:15.433,N/D,Not VIP,No,No,216
4178835,,No,,Women,Not VIP,No,No,216
4182680,,Yes,2012-09-18 15:01:29.517,Men,Not VIP,Yes,No,37
4174368,,Yes,2012-11-28 19:59:41.067,Men,Not VIP,No,No,70
4177101,,No,,N/D,Not VIP,Yes,No,37
4182867,,Yes,2014-11-28 21:11:57.213,N/D,Not VIP,Yes,No,216
4183570,,No,,Women,Not VIP,No,No,216
3611656,,Yes,2012-10-18 22:53:33.227,N/D,Not VIP,Yes,No,216
3613839,,Yes,2012-11-19 01:49:10.257,Men,Not VIP,No,No,37
3613074,,Yes,2012-03-20 14:45:22.910,Women,VIP,Yes,Yes,216
3667356,,Yes,2015-05-31 01:41:40.420,Men,Not VIP,Yes,No,37
3670053,,No,,N/D,Not VIP,No,No,216
3672836,,No,,Men,Not VIP,No,No,29
3680486,,Yes,2015-01-29 06:20:53.670,Men,Not VIP,Yes,Yes,37
16496,,Yes,2009-04-02 11:55:39.310,N/D,Not VIP,Yes,Yes,93
11002,,Yes,2009-02-27 16:11:06.810,Women,Not VIP,No,No,216
19169,,Yes,2009-04-20 12:54:22.437,Women,Not VIP,Yes,No,216
6482,,Yes,2009-02-02 17:55:18.520,Women,Not VIP,No,No,13
4344926,,No,,N/D,Not VIP,No,No,70
4348552,,No,,N/D,Not VIP,No,No,216
4349487,,No,,N/D,Not VIP,No,No,216
4364277,,No,,Women,Not VIP,No,No,216
3655851,,No,,N/D,Not VIP,No,No,37
1979117,,Yes,2012-05-15 15:02:47.867,Women,Not VIP,Yes,No,216
3308759,,No,,Women,Not VIP,No,No,216
3308829,,No,,Women,Not VIP,No,No,216
4343736,,No,,Men,Not VIP,No,No,29
3641555,,Yes,2014-06-17 17:45:16.390,Men,Not VIP,No,No,216
3641706,,Yes,2012-05-11 17:31:27.620,N/D,Not VIP,No,No,216
3686170,,No,,Women,Not VIP,No,Yes,216
3649516,1990-05-30,Yes,2014-02-17 02:15:02.970,Men,Not VIP,No,No,29
3650216,,Yes,2014-12-27 03:33:09.100,Women,Not VIP,Yes,Yes,216
3623095,,Yes,2015-06-11 06:13:34.283,Women,Not VIP,Yes,No,216
3626922,,No,,N/D,Not VIP,No,No,216
3681626,,Yes,2012-10-23 19:08:47.207,N/D,Not VIP,No,No,216
3681699,,No,,Women,Not VIP,No,No,216
3694467,,No,,Women,Not VIP,No,No,216
3670880,,Yes,2014-10-15 18:59:26.550,Women,Not VIP,Yes,No,29
3689259,,No,,Men,Not VIP,No,No,216
3672496,,No,,Men,Not VIP,Yes,No,216
3682465,,No,,Women,Not VIP,No,No,216
34697,,Yes,2009-06-26 17:14:36.077,Women,Not VIP,Yes,No,197
1020604,,Yes,2012-01-04 16:49:50.980,Men,Not VIP,Yes,No,216
1025743,,Yes,2012-01-04 16:49:50.980,N/D,Not VIP,No,Yes,216
31531,,Yes,2009-06-10 13:06:00.493,Women,Not VIP,Yes,Yes,104768
1021841,,Yes,2012-01-04 16:49:50.980,Women,Not VIP,No,No,216
1025570,,Yes,2012-01-04 16:49:50.980,Women,Not VIP,No,No,216
1025900,,Yes,2012-01-04 16:49:50.980,Women,Not VIP,No,No,216
1027646,,Yes,2012-01-04 16:49:50.980,N/D,Not VIP,No,No,216
4168481,,No,,N/D,Not VIP,No,No,216
4372967,,No,,Women,Not VIP,No,No,37
4378402,,No,,Women,Not VIP,No,No,216
4374338,,No,,Women,Not VIP,No,No,70
4367192,,No,,N/D,Not VIP,Yes,Yes,216
4353061,,No,,Women,Not VIP,No,No,70
4380327,,No,,Women,Not VIP,No,No,216
4381588,,No,,Women,Not VIP,No,No,216
4382929,,No,,Men,Not VIP,No,No,216
10834,,Yes,2009-02-23 15:41:59.090,Women,Not VIP,Yes,No,70
4424522,,Yes,2013-03-07 21:40:18.243,Women,Not VIP,No,No,70
3623206,,No,,Men,Not VIP,Yes,No,216
4411518,,No,,N/D,Not VIP,No,No,216
4409488,,No,,Women,Not VIP,No,No,216
23708,,Yes,2009-05-13 17:53:34.873,N/D,Not VIP,Yes,No,55
30345,,Yes,2009-06-08 10:20:28.993,Men,Not VIP,Yes,Yes,13
3679428,1973-03-26,Yes,2012-10-18 18:29:15.077,Men,Not VIP,No,No,29
3687614,,No,,N/D,Not VIP,No,No,216
3611306,,Yes,2012-11-22 22:24:17.030,Men,Not VIP,No,No,216
3613480,,No,,N/D,Not VIP,No,No,37
4468366,,Yes,2012-12-09 04:03:08.170,N/D,Not VIP,No,No,216
4386061,,No,,Men,Not VIP,No,No,216
4388954,,Yes,2014-01-09 09:39:13.380,Men,Not VIP,Yes,No,215
4407136,,No,,N/D,Not VIP,No,No,216
4394439,,Yes,2013-03-28 04:19:38.163,Women,Not VIP,No,No,216
4399619,,No,,Men,Not VIP,No,No,216
4400330,,No,,N/D,Not VIP,No,No,37
4388693,,Yes,2012-12-28 11:23:38.077,Women,Not VIP,Yes,Yes,216
4390251,,No,,N/D,Not VIP,No,No,216
4403351,,No,,Women,Not VIP,No,No,216
4450435,,Yes,2013-07-20 23:20:49.943,Women,Not VIP,Yes,No,216
4343575,,No,,Women,Not VIP,No,No,216
4386377,,No,,Women,Not VIP,No,No,216
4390130,,No,,Men,Not VIP,No,No,37
4429002,,No,,Women,Not VIP,No,No,216
4429852,,No,,Men,Not VIP,No,No,216
4431024,,No,,Men,Not VIP,No,No,216
4383798,1974-04-28,No,,Men,Not VIP,No,No,29
4385688,,No,,N/D,Not VIP,No,No,216
4403049,,No,,Women,Not VIP,Yes,No,216
4421730,,No,,Women,Not VIP,Yes,No,70
4425903,,No,,Women,Not VIP,No,No,29
4449206,,No,,Women,Not VIP,Yes,No,216
4440081,,Yes,2012-11-09 21:57:36.220,N/D,Not VIP,No,No,29
4439805,,Yes,2014-05-03 01:03:54.273,Women,Not VIP,No,No,29
4442538,,No,,N/D,Not VIP,No,No,216
4449776,,Yes,2015-06-02 11:07:32.737,N/D,Not VIP,No,No,216
4431479,,No,,N/D,Not VIP,No,No,37
4446988,,No,,N/D,Not VIP,No,No,216
4448342,,Yes,2011-10-13 16:39:55.630,N/D,Not VIP,No,No,216
4428143,,No,,Women,Not VIP,Yes,Yes,216
4435499,,No,,N/D,Not VIP,No,No,29
16201,,Yes,2009-04-02 11:55:39.310,Women,Not VIP,No,Yes,216
4426616,,No,,Women,Not VIP,No,No,29
4448425,,No,,Women,Not VIP,No,No,216
13634,,Yes,2009-03-16 11:31:13.170,Women,Not VIP,No,No,37
4344233,,No,,Men,Not VIP,Yes,No,70
4355999,,Yes,2012-12-07 02:04:38.167,N/D,Not VIP,Yes,No,216
4358971,1972-04-06,Yes,2012-01-02 16:36:53.540,Men,Not VIP,Yes,No,29
4415875,,No,,Women,Not VIP,No,No,29
4418607,,No,,Men,Not VIP,No,No,29
3628720,,Yes,2015-08-30 10:25:30.117,Women,Not VIP,Yes,Yes,216
3633100,,No,,Men,Not VIP,No,No,216
3635925,,No,,Men,Not VIP,No,No,216
4405387,,Yes,2012-12-05 20:38:20.087,Women,Not VIP,Yes,No,37
4408176,,No,,Men,Not VIP,Yes,No,216
45810,1983-06-07,Yes,2009-08-17 09:30:24.420,Women,Not VIP,Yes,No,53
4410456,,No,,N/D,Not VIP,No,No,29
39016,,Yes,2009-07-13 12:02:59.283,Women,Not VIP,No,No,216
1031083,,Yes,2012-01-04 16:49:50.980,Women,Not VIP,Yes,No,216
4463974,1988-03-07,No,,Men,Not VIP,No,No,29
4474303,,No,,Women,Not VIP,No,No,216
25137,,Yes,2009-05-18 11:22:32.560,N/D,Not VIP,No,No,198
4463448,,No,,Women,Not VIP,No,No,216
4468564,,No,,Women,Not VIP,No,Yes,37
4469935,,No,,Women,Not VIP,No,No,216
4462519,,No,,Women,Not VIP,No,No,216
4463905,,No,,N/D,Not VIP,Yes,No,216
4469678,,No,,Women,Not VIP,No,No,216
4478856,,No,,Men,Not VIP,No,No,216
4453136,,No,,N/D,Not VIP,No,No,216
4462503,,No,,Men,Not VIP,Yes,No,216
4375502,,No,,Men,Not VIP,No,No,37
4467948,,No,,N/D,Not VIP,No,Yes,216
4468284,,No,,Women,Not VIP,No,No,216
4427627,,No,,Women,Not VIP,No,No,216
4435566,,No,,Women,Not VIP,No,No,216
51693,,Yes,2009-03-16 11:31:13.217,Women,Not VIP,Yes,No,215
34722,1977-02-09,Yes,2011-10-13 16:24:41.807,Men,Not VIP,Yes,Yes,196
60273,1980-11-08,Yes,2009-10-26 09:54:49.460,Women,Not VIP,No,No,110
32279,,Yes,2009-06-15 14:38:13.407,N/D,Not VIP,Yes,No,216
50509,,Yes,2009-09-14 16:57:54.140,N/D,VIP,Yes,No,216
4480113,1980-01-02,No,,Men,Not VIP,No,No,216
4453631,,Yes,2012-12-11 05:01:54.050,N/D,Not VIP,Yes,No,37
4397945,,No,,Men,Not VIP,No,No,216
4408441,,No,,Women,Not VIP,No,No,216
4409060,,No,,Women,Not VIP,No,No,216
63144,,Yes,2009-11-09 10:34:21.143,Women,Not VIP,Yes,No,215
4479920,1982-09-30,No,,Men,Not VIP,Yes,Yes,70
4496560,,No,,N/D,Not VIP,No,No,216
4482742,,No,,N/D,Not VIP,No,No,216
4491925,,Yes,2012-12-10 15:48:50.927,Women,Not VIP,No,No,216
4502026,,No,,N/D,Not VIP,No,No,216
4497845,,Yes,2012-12-19 17:53:17.853,Women,Not VIP,No,No,29
4509959,,No,,Women,Not VIP,No,No,29
4503564,,No,,Women,Not VIP,No,No,216
4502735,,No,,N/D,Not VIP,No,No,37
4480523,,Yes,2014-07-30 21:14:26.710,Women,Not VIP,No,No,216
4481961,,Yes,2015-01-15 22:43:59.250,Women,Not VIP,No,No,216
4482231,,No,,Men,Not VIP,No,No,37
4833304,,Yes,2014-04-01 21:33:21.397,Women,Not VIP,Yes,No,216
4834757,,Yes,2014-10-16 21:34:47.063,Men,VIP New,Yes,Yes,216
4826718,,Yes,2015-04-19 00:38:39.257,N/D,Not VIP,Yes,No,216
4830592,,No,,Women,Not VIP,No,No,216
4870318,,Yes,2015-06-26 02:41:56.177,Women,Not VIP,No,No,216
4831018,,No,,Women,Not VIP,No,No,216
4838349,,No,,Men,Not VIP,No,No,216
4846330,,Yes,2012-12-19 12:39:52.450,Men,Not VIP,No,No,216
4492544,,No,,N/D,Not VIP,Yes,No,216
4482571,,Yes,2012-12-10 01:50:31.357,N/D,Not VIP,No,No,216
4500094,,Yes,2011-11-27 00:44:52.603,Women,Not VIP,No,Yes,29
4500480,,No,,Men,Not VIP,Yes,No,216
4507649,,Yes,2012-06-12 01:45:12.500,Women,Not VIP,No,No,29
4832528,,Yes,2012-12-29 22:22:32.043,N/D,Not VIP,No,No,216
4849122,,Yes,2012-12-30 18:43:28.913,Women,Not VIP,Yes,No,216
4510411,,No,,Women,Not VIP,Yes,No,216
4837767,,No,,Women,Not VIP,No,No,216
4848669,,No,,Women,Not VIP,No,No,216
4869212,,No,,Women,Not VIP,No,No,37
4869494,,No,,Women,Not VIP,No,No,216
4869517,,No,,Men,Not VIP,No,No,216
4484632,,No,,Women,Not VIP,No,No,216
4500527,,No,,Men,Not VIP,Yes,No,216
4506511,,No,,Men,Not VIP,No,No,216
180172,1968-11-02,Yes,2010-07-12 18:07:27.857,Women,Not VIP,Yes,Yes,13
4831365,,No,,Women,Not VIP,No,No,216
4836632,,Yes,2015-03-21 20:31:07.967,Men,Not VIP,No,Yes,216
183814,,Yes,2010-07-19 11:14:45.483,Women,Not VIP,No,No,13
106906,,Yes,2010-02-15 12:49:15.123,Women,Not VIP,No,No,103
101636,1969-12-23,No,,Women,Not VIP,Yes,Yes,77
103527,,Yes,2010-02-08 05:36:11.527,Women,Not VIP,No,No,216
124589,1978-07-20,Yes,2010-03-31 18:09:17.483,Men,Not VIP,Yes,Yes,37
127749,,Yes,2010-04-07 18:28:46.983,Men,Not VIP,No,No,215
135560,,Yes,2010-04-22 14:25:54.733,Men,Not VIP,No,Yes,216
234906,2001-01-01,No,,Women,Not VIP,Yes,Yes,344835
138753,1977-01-01,Yes,2010-04-28 18:03:27.340,Men,VIP,Yes,No,216
250284,,Yes,2010-11-15 17:36:52.110,Women,Not VIP,Yes,Yes,80
259577,,Yes,2010-07-08 11:48:29.470,Women,Not VIP,Yes,No,215
260754,,Yes,2010-11-30 16:21:43.397,Women,Not VIP,No,No,181
152459,,Yes,2010-05-24 12:15:44.780,Men,Not VIP,Yes,No,181
103659,,Yes,2010-02-08 14:39:03.353,Women,Not VIP,No,Yes,215
263480,,Yes,2010-12-06 12:36:23.907,Women,Not VIP,No,No,215
161053,1979-11-22,Yes,2010-06-09 16:17:32.210,Men,Not VIP,No,Yes,215
159914,,Yes,2010-06-08 11:20:10.733,Women,Not VIP,Yes,No,123
295224,,Yes,2011-01-13 12:01:54.980,Men,Not VIP,Yes,No,196
313717,,Yes,2010-11-22 10:28:18.197,Women,Not VIP,Yes,Yes,215
198734,,Yes,2010-08-12 16:04:50.473,Men,Not VIP,No,No,215
119114,,Yes,2010-03-17 18:32:37.187,Women,Not VIP,Yes,No,110
324202,1964-11-22,Yes,2011-02-15 20:19:30.423,Women,Not VIP,Yes,No,215
